px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
120.303	-3671.31	-3.04126	0.0288036	-0.000602504	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
122.517	-3744.39	-3.04082	0.0288681	-0.00106257	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0
120.104	-3656.82	-3.04077	0.0288811	0.000737108	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
118.261	-3589.36	-3.04024	0.0290411	0.001348	9.88465	-10.9383	9.85	-10.9	0	-2.73074	0
116.771	-3534.47	-3.03842	0.0291057	-0.000401581	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
122.004	-3710.85	-3.04068	0.028874	-0.00446451	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0
125.219	-3818.82	-3.04122	0.0292174	-0.0136314	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
123.653	-3758.92	-3.04939	0.0289347	-0.00887618	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0
128.301	-3917.47	-3.04507	0.0289198	-0.0229161	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
131.723	-4033.94	-3.0461	0.0286812	-0.0119675	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	0
135.419	-4160.82	-2.996	0.028784	-0.0395681	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
134.02	-4103.97	-3.00947	0.0244523	-0.0175178	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0
134.832	-4134.5	-3.01064	0.0292351	-0.0726677	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
138.161	-4249.29	-2.9958	0.0279568	-0.0285531	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	0
140.626	-4333.03	-3.00153	0.0321722	-0.138848	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
142.375	-4400.98	-2.97411	0.0395492	-0.0506172	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	0
140.264	-4338.91	-2.98707	0.0512968	-0.0210416	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
146.824	-4465.84	-2.97067	0.0479242	-0.00844174	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0
149.166	-4506.64	-3.00798	0.0157809	-0.504242	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
148.39	-4375.56	-2.88256	-0.00319197	-0.669382	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	0
147.843	-4334.21	-2.92605	0.0189	0.772534	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
153.082	-4341.45	-2.95545	0.0203084	-0.747244	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0
154.853	-4151.32	0.524943	0.117963	-0.253836	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
157.539	-4161.77	-0.654372	0.0349777	1.91105	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0
150.083	-4107.46	0.559417	0.0434335	4.63268	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
145.726	-4188.88	0.368182	0.0992748	1.53946	8.22926	-13.1698	8.2	-13.15	-2.72741	0	0
170.974	-4378.9	4.24069	0.561183	8.50839	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
113.694	-4385.56	4.82237	0.34277	-5.16863	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0
154.321	-4377.47	-0.789846	0.0194573	-1.72763	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
155.328	-4403.8	-4.5309	-0.0224367	-0.580211	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	0
146.555	-4408.03	4.97507	-0.0172643	31.8023	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
24.5917	-4573.03	-4.68805	0.576901	10.596	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0
29.4185	-4671.77	12.8699	0.386348	3.52724	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
